frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
0,rock,0,3.333333333e-01,-2.646072918e-02,1.066468511e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.736691233e-01,-1.084089381e-01,1.004933040e-01,-1.523449763e-02,-6.740734659e-02,2.416113839e-02,1.483289279e-01,-1.292163334e-01,8.098310155e-01,1.660225912e-02,9.608159629e-03,2.479764989e-01,7.789952755e-01,4.769230769e-01,3.041231746e-02,4.831699133e-01,3.333333333e-01,4.046884006e-02,3.506440222e-01,2.656250000e-01,-7.880490184e-02,7.606012225e-01,2.575757576e-01,7.165089803e-02,1.626955321e-01,2.687138837e-01,2.691509827e-02,3.031970741e-01,-1.157823596e-02,1.888423159e-01,6.666034460e-01,7.606012225e-01,-7.789952755e-01,2.000000000e+01,1.967312992e-01,2.300000000e+01,2.000000000e+01
1,rock,0,2.567049808e-01,3.979009932e-04,1.698824846e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.000115471e+01,2.807512419e-01,-4.838022735e-01,2.375062706e-01,-4.660519693e-01,0.000000000e+00,-1.221028051e+00,1.768170606e+00,-1.264717002e+00,-3.586725010e-02,-4.749235922e-01,8.500597581e-03,-1.262378012e+00,1.795879828e+00,2.610520931e+00,-9.543279064e-02,2.446803044e-01,4.283440735e+00,1.482961464e+01,5.076923077e-01,3.111635593e-01,8.305746078e+00,1.666666667e-01,-4.433334335e-01,6.010072231e+00,1.875000000e-01,1.587013688e-01,8.283397675e+00,1.666666667e-01,-3.944010713e-01,-2.813445808e+00,5.910925267e+00,1.779481655e+00,4.823458265e+00,-9.489988558e-01,2.915520483e+00,1.343322659e+01,1.458795071e+01,-1.482961464e+01,1.900000000e+01,3.647170365e-01,2.200000000e+01,2.100000000e+01
2,rock,0,4.712643678e-01,5.924486183e-02,1.820678627e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.909020478e+01,-2.767007308e-01,4.703485156e-01,-2.149177363e-01,4.325703804e-01,0.000000000e+00,1.547337158e-01,-1.208065762e-01,1.280109595e-01,-9.631091497e-02,-1.210850221e-02,-3.105334415e-03,8.966970690e-02,-5.425607065e-02,-2.628265313e-01,1.128124965e-02,-3.045738513e-03,2.817155560e-01,6.321223974e-01,4.769230769e-01,3.446282856e-02,6.685240865e-01,5.454545455e-01,2.701508211e-02,6.359437704e-01,4.843750000e-01,-5.621636750e-02,5.076632500e-01,3.787878788e-01,3.816930913e-02,1.126898634e-01,3.011096501e-01,-3.163528262e-02,3.585720733e-01,2.510351500e-02,2.049139995e-01,6.282772422e-01,6.685240865e-01,-6.667042375e-01,2.000000000e+01,1.431407928e-01,2.100000000e+01,2.000000000e+01
3,rock,0,3.295019157e-01,-8.013613020e-02,1.478705425e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.056074615e+00,-1.112610117e-02,-3.972840971e-02,2.239963241e-02,-7.268260424e-03,0.000000000e+00,8.762196265e-02,-2.654074499e-02,8.032249534e-03,-2.406237201e-02,-1.438460971e-02,-2.990847813e-02,9.926721291e-02,-8.608405269e-02,1.532999970e+00,2.118796274e-03,1.201839971e-01,1.593726938e-01,5.477168560e-01,5.076923077e-01,2.333672739e-02,2.380098403e-01,3.030303030e-01,-1.271332759e-02,2.758529782e-01,2.031250000e-01,-3.381673509e-02,5.112286806e-01,3.030303030e-01,3.090104871e-02,-1.037752344e-02,2.149946835e-01,4.168588049e-02,1.925923351e-01,-2.243687991e-02,1.135725956e-01,4.282268882e-01,5.112286806e-01,-5.477168560e-01,2.000000000e+01,1.120597050e-01,2.100000000e+01,2.000000000e+01
4,rock,0,3.218390805e-01,3.139334565e-03,1.228356725e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.028784538e+00,-1.071063500e-02,2.859309043e-02,-2.265065379e-02,4.768089986e-02,0.000000000e+00,9.691142570e-02,-6.520357320e-02,2.917154360e-02,2.674551363e-02,-5.556771834e-02,1.381551282e-03,1.396383016e-01,-7.073723583e-02,1.048414780e+00,1.318488915e-02,2.108100132e-01,2.356264873e-01,6.893056035e-01,4.769230769e-01,1.262609238e-02,5.454493165e-01,3.787878788e-01,1.587976284e-02,3.528225124e-01,1.406250000e-01,-5.646738888e-02,8.073170185e-01,2.878787879e-01,7.858194857e-02,8.693039098e-02,2.741316821e-01,4.718829999e-02,3.001299778e-01,-2.023860375e-02,1.641266277e-01,6.474639773e-01,8.073170185e-01,-6.893056035e-01,2.000000000e+01,1.520252228e-01,2.000000000e+01,2.000000000e+01
5,rock,0,4.022988506e-01,-2.922386221e-02,4.620877803e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.321719971e+00,-4.057319490e-02,1.966426579e-02,-1.546588827e-02,1.064907350e-02,0.000000000e+00,7.175915327e-02,-4.022291102e-02,8.868623870e-02,-6.052011648e-02,-1.513415777e-02,-3.325960785e-02,1.860830011e-01,-1.417585525e-01,5.101005382e-01,6.953494043e-03,4.943893575e-01,2.943772474e-01,5.483853817e-01,4.615384615e-01,-2.794710252e-02,6.008603573e-01,4.090909091e-01,3.554402863e-02,6.645476818e-01,3.125000000e-01,-7.193327715e-02,9.848364592e-01,4.242424242e-01,8.923102207e-02,5.222807017e-02,3.627610742e-01,8.560559998e-02,3.684105904e-01,-5.208378560e-02,1.987054668e-01,7.449454665e-01,9.848364592e-01,-6.645476818e-01,2.000000000e+01,1.534722000e-01,2.100000000e+01,2.000000000e+01
6,rock,0,2.605363985e-01,4.792395536e-03,1.738711721e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.997464773e+01,3.363718173e-01,-4.956854400e-01,2.804979596e-01,-4.919125117e-01,0.000000000e+00,-1.253928590e+00,1.808945953e+00,-1.334982481e+00,5.478416440e-02,-3.912354303e-01,-1.077903845e-01,-1.227928022e+00,1.808432714e+00,2.592933542e+00,-9.023205105e-02,2.459637882e-01,4.227087076e+00,1.478507519e+01,5.076923077e-01,3.084247148e-01,8.206726074e+00,1.818181818e-01,-4.601414114e-01,6.038412094e+00,2.031250000e-01,2.085646825e-01,8.386940956e+00,1.515151515e-01,-4.026814896e-01,-2.785961752e+00,5.757411322e+00,1.842422884e+00,4.747723670e+00,-9.855414262e-01,2.858929543e+00,1.317838860e+01,1.430038834e+01,-1.478507519e+01,1.900000000e+01,3.316622078e-01,2.000000000e+01,2.100000000e+01
7,rock,0,3.869731801e-01,8.591670875e-02,6.624058640e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.905283531e+01,-2.832538685e-01,4.751619524e-01,-2.516595401e-01,4.890657389e-01,0.000000000e+00,1.815031845e-01,-1.649228398e-01,1.333609094e-01,-8.584113522e-02,2.059770318e-02,-6.171571034e-03,1.816174185e-01,-9.516995340e-02,6.841603007e-01,2.134387080e-02,-8.513659653e-02,3.173400225e-01,6.990671158e-01,4.769230769e-01,2.517084628e-02,1.006539702e+00,5.000000000e-01,1.502054100e-02,4.972518384e-01,2.656250000e-01,-4.309485764e-02,7.378305793e-01,3.030303030e-01,8.638424930e-02,2.069799272e-01,4.466150215e-01,-3.709326716e-02,3.649960510e-01,3.323003788e-02,2.391243552e-01,7.654953003e-01,1.006539702e+00,-9.531579614e-01,2.000000000e+01,1.645430177e-01,2.000000000e+01,2.000000000e+01
8,rock,0,2.681992337e-01,7.367879805e-03,1.804984172e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.859508145e+01,2.158145929e-01,-4.513766682e-01,1.820979441e-01,-4.664176946e-01,0.000000000e+00,-1.324355203e+00,1.815368126e+00,-1.279578457e+00,-2.519114643e-02,-4.417563282e-01,-1.131117047e-01,-1.196869858e+00,1.750097974e+00,2.627973867e+00,-1.123427614e-01,2.641114029e-01,4.193754190e+00,1.456621552e+01,5.230769231e-01,2.409854391e-01,8.971220016e+00,1.818181818e-01,-4.363561272e-01,6.553548336e+00,2.031250000e-01,1.390030864e-01,9.131415367e+00,1.666666667e-01,-3.800334453e-01,-3.064947040e+00,5.709977694e+00,1.954064962e+00,4.630390763e+00,-1.059359786e+00,2.795385526e+00,1.308752441e+01,1.423330593e+01,-1.456621552e+01,1.900000000e+01,3.380109668e-01,1.900000000e+01,2.100000000e+01
9,rock,0,2.567049808e-01,4.408886017e-03,1.775848576e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.418951951e+00,3.886394976e-02,-2.599483285e-02,5.683396466e-02,-3.207806046e-02,0.000000000e+00,-1.243832106e+00,1.691564172e+00,-1.223710088e+00,-7.317103920e-02,-3.283954967e-01,-1.701170369e-01,-1.197143178e+00,1.796948729e+00,2.623297440e+00,-1.034128015e-01,2.536068499e-01,4.258386973e+00,1.478496170e+01,5.076923077e-01,2.798493889e-01,8.559584618e+00,1.666666667e-01,-4.623509601e-01,5.998970985e+00,2.031250000e-01,1.958370511e-01,8.559415817e+00,1.515151515e-01,-4.121115058e-01,-2.924992744e+00,5.847043272e+00,1.854025295e+00,4.771045863e+00,-9.968911240e-01,2.862328809e+00,1.339798069e+01,1.443401527e+01,-1.478496170e+01,1.900000000e+01,3.263287544e-01,2.100000000e+01,2.100000000e+01
