frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
0,rock,0,4.329501916e-01,3.258572305e-02,1.234290841e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.064958974e-01,4.136088430e-01,-2.571567458e-01,2.385555783e-02,1.978339982e-01,2.352093646e-01,2.194414614e-03,-1.665491683e-01,7.264549309e-03,1.227802294e-01,1.144167329e-01,8.296687596e-01,2.377454758e+00,6.307692308e-01,3.782915593e-01,1.986341953e+00,3.484848485e-01,-5.758388854e-02,1.710670114e+00,4.218750000e-01,2.412399897e-01,1.684604406e+00,3.333333333e-01,-6.336566927e-02,5.075118939e-01,7.598227724e-01,-1.689098038e-01,1.028541690e+00,2.611335505e-01,6.006044640e-01,1.982236028e+00,2.377454758e+00,-1.986341953e+00,1.000000000e+01,2.556189299e-01,1.000000000e+01,3.000000000e+01
1,rock,0,4.521072797e-01,4.090944635e-02,1.490512368e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.862554678e+00,-3.542946388e-02,6.007386604e-03,-5.265857847e-02,1.165435393e-02,0.000000000e+00,4.937168549e-01,3.787342038e-01,-2.650836462e-01,5.583888021e-02,1.380623347e-01,1.833078191e-01,3.487073071e-02,-2.015219321e-01,1.615611579e-01,1.055105386e-01,1.079124165e-01,7.640035406e-01,2.171897173e+00,6.923076923e-01,3.428620955e-01,1.913452029e+00,3.636363636e-01,-5.157650194e-02,1.555877090e+00,3.906250000e-01,1.885814113e-01,1.594045639e+00,3.636363636e-01,-5.171131535e-02,4.430291021e-01,7.270368221e-01,-2.120256129e-01,9.206696292e-01,2.679798492e-01,5.527717163e-01,1.831248760e+00,2.171897173e+00,-1.913452029e+00,9.000000000e+00,2.475961298e-01,9.000000000e+00,3.100000000e+01
2,rock,0,4.291187739e-01,5.830996689e-02,1.471095999e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.571472154e+00,-6.358177610e-02,7.023294703e-03,-5.467265735e-02,1.515334049e-02,0.000000000e+00,3.326227280e-01,3.552922357e-01,-2.776098289e-01,5.807013031e-02,1.550905531e-02,2.899090045e-01,-7.335865370e-02,-6.476875430e-02,2.965312701e-01,8.187755935e-02,3.672335270e-01,6.864891655e-01,2.164280891e+00,7.230769231e-01,2.792803194e-01,1.682552457e+00,4.090909091e-01,-4.455320723e-02,1.230476141e+00,3.593750000e-01,1.339087539e-01,9.973150492e-01,2.272727273e-01,-3.655797486e-02,1.957695591e-01,6.116319197e-01,-9.090308317e-02,8.169489788e-01,1.804554044e-01,5.684789853e-01,1.723174095e+00,2.164280891e+00,-1.455721259e+00,8.000000000e+00,2.628617883e-01,9.000000000e+00,3.200000000e+01
3,rock,0,3.793103448e-01,5.541282910e-02,1.655935226e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.260347082e+00,-2.817167353e-02,2.956041502e-03,-2.636782218e-02,5.632281445e-03,0.000000000e+00,2.976690615e-01,3.351541010e-01,-2.682253665e-01,4.491091331e-02,3.756309888e-03,2.626288281e-01,-6.153233856e-02,-6.712592347e-02,4.393416013e-01,7.056771228e-02,4.304062189e-01,6.628259743e-01,2.085960388e+00,6.769230769e-01,2.511086458e-01,1.733804822e+00,3.181818182e-01,-4.159716573e-02,1.103872538e+00,3.125000000e-01,1.075409317e-01,9.738471508e-01,2.121212121e-01,-3.092569341e-02,1.220695085e-01,6.411869947e-01,-8.433367495e-02,7.703123700e-01,1.663246252e-01,5.614317258e-01,1.732629895e+00,2.085960388e+00,-1.344213724e+00,8.000000000e+00,2.585837245e-01,8.000000000e+00,3.200000000e+01
4,rock,0,3.524904215e-01,6.135187146e-02,1.777407116e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.845279873e-01,-8.489293777e-03,-8.985495491e-03,-2.169752981e-02,-1.055574974e-02,0.000000000e+00,2.997365657e-01,3.025296186e-01,-2.681409965e-01,4.452906758e-02,-1.613652909e-02,2.284594192e-01,-6.141750040e-02,-8.169465675e-02,6.037582372e-01,5.819158895e-02,4.499134059e-01,6.389155513e-01,1.997318983e+00,6.615384615e-01,2.426193520e-01,1.717824459e+00,2.878787879e-01,-5.058266122e-02,1.023338079e+00,2.656250000e-01,8.584340193e-02,8.923432827e-01,1.969696970e-01,-4.148144316e-02,8.539718035e-02,6.276549275e-01,-1.032719849e-01,7.339104780e-01,1.618664894e-01,5.432451190e-01,1.696344614e+00,1.997318983e+00,-1.358099580e+00,8.000000000e+00,2.583628893e-01,1.100000000e+01,3.200000000e+01
5,rock,0,3.639846743e-01,6.555038575e-02,1.895741058e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.309743878e+00,-2.800207640e-02,-8.147846075e-04,-2.895686841e-02,-6.049617180e-03,0.000000000e+00,2.594090242e-01,2.964244447e-01,-2.765240734e-01,3.941688926e-02,-3.643932735e-02,1.934921305e-01,-6.595031900e-02,-8.650714660e-02,7.285130481e-01,4.238153125e-02,5.235440892e-01,6.214940640e-01,1.966380239e+00,6.769230769e-01,2.146172756e-01,1.705048442e+00,3.636363636e-01,-5.139744583e-02,9.532874227e-01,2.187500000e-01,5.688653352e-02,7.781416774e-01,1.969696970e-01,-4.753106034e-02,-2.914557783e-02,5.881949262e-01,-8.322994527e-02,7.092185839e-01,1.365535523e-01,5.423761481e-01,1.657022595e+00,1.966380239e+00,-1.378911257e+00,8.000000000e+00,2.608966529e-01,1.000000000e+01,3.200000000e+01
6,rock,0,3.448275862e-01,7.008685378e-02,1.976639362e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.114752325e-01,-7.172339438e-03,-3.965279271e-03,-8.813383967e-03,-1.061444205e-02,0.000000000e+00,2.639970335e-01,2.737609431e-01,-2.763317275e-01,5.016122552e-02,-4.922008661e-02,1.738740267e-01,-6.486420176e-02,-1.099318948e-01,8.305044193e-01,3.474735407e-02,5.480197805e-01,5.947166681e-01,1.874609828e+00,6.769230769e-01,2.074449362e-01,1.651579499e+00,3.484848485e-01,-5.536272510e-02,9.316787720e-01,2.343750000e-01,4.807314956e-02,6.876585484e-01,1.212121212e-01,-5.814550238e-02,-5.188243588e-02,5.354403774e-01,-1.063362048e-01,6.747659955e-01,1.414365710e-01,5.195799087e-01,1.580152988e+00,1.874609828e+00,-1.331950784e+00,8.000000000e+00,2.655709684e-01,8.000000000e+00,3.200000000e+01
7,rock,0,3.678160920e-01,6.460548594e-02,2.077907331e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.998726711e-01,-1.351887296e-02,-5.575671150e-03,-1.581671379e-03,1.286883378e-02,0.000000000e+00,2.679114543e-01,2.528408861e-01,-2.788354781e-01,4.689708341e-02,-2.942629712e-02,1.483606971e-01,-2.403301257e-02,-1.378153318e-01,8.440428758e-01,3.283699017e-02,5.025498990e-01,6.025205151e-01,1.886715174e+00,6.923076923e-01,1.939260633e-01,1.624184012e+00,3.484848485e-01,-6.093839625e-02,8.774834871e-01,2.343750000e-01,4.649147818e-02,6.775730848e-01,1.969696970e-01,-4.527666860e-02,-1.635348038e-02,5.649166116e-01,-1.291795891e-01,6.805581359e-01,1.480216533e-01,5.211150077e-01,1.577494979e+00,1.886715174e+00,-1.380397439e+00,8.000000000e+00,2.656614780e-01,8.000000000e+00,3.200000000e+01
8,rock,0,3.563218391e-01,6.723767284e-02,2.162512439e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.002468029e+00,-9.744396534e-03,-5.270475458e-03,-1.481022801e-02,-2.587936723e-02,0.000000000e+00,2.472189372e-01,2.345975208e-01,-2.685369867e-01,3.749464328e-02,-4.377042051e-02,1.166904841e-01,-5.362621229e-02,-1.348032199e-01,9.562769507e-01,1.890162624e-02,5.411399208e-01,5.763261263e-01,1.803582072e+00,6.769230769e-01,1.841816667e-01,1.559244633e+00,3.636363636e-01,-6.620887171e-02,7.744531631e-01,2.187500000e-01,3.168125016e-02,6.457981467e-01,1.666666667e-01,-7.115603583e-02,-1.195828322e-01,5.519710996e-01,-1.004524668e-01,6.492693302e-01,1.186666718e-01,5.042947956e-01,1.528312325e+00,1.803582072e+00,-1.398164034e+00,8.000000000e+00,2.677723169e-01,8.000000000e+00,3.200000000e+01
9,rock,0,3.946360153e-01,9.533574900e-02,1.672007943e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.835681669e+00,-3.500397715e-02,1.642982846e-02,-3.300143705e-02,2.495093328e-03,0.000000000e+00,1.288608713e-01,3.548521085e-01,-3.786021017e-01,1.800913135e-01,-1.565320491e-01,1.247125566e-01,-9.277226392e-02,-1.172033965e-01,5.747342996e-01,6.877466672e-03,3.530710774e-01,6.350858727e-01,1.921978116e+00,6.769230769e-01,1.491776896e-01,1.757030725e+00,4.393939394e-01,-4.977904325e-02,9.319659472e-01,2.656250000e-01,-1.320186886e-03,7.585915327e-01,1.969696970e-01,-6.866094250e-02,-2.500098635e-01,6.098916571e-01,-9.109098658e-03,7.096679751e-01,5.499791254e-02,5.735290769e-01,1.581771135e+00,1.921978116e+00,-1.757030725e+00,7.000000000e+00,2.879799008e-01,7.000000000e+00,3.300000000e+01
