frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
0,rock,0,2.567049808e-01,-8.406745058e-02,6.676513116e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.713973820e-01,9.321402750e-02,5.931925680e-02,4.221625508e-02,1.210736297e-01,6.727400436e-02,2.429142370e-01,-1.141567961e-01,1.845401152e+00,9.899395606e-02,9.681186956e-01,5.327227951e-01,2.068235636e+00,4.000000000e-01,1.423878298e-01,1.049787045e+00,1.363636364e-01,6.603821620e-02,1.306755543e+00,2.343750000e-01,6.872097729e-02,1.447264314e+00,2.575757576e-01,1.185689209e-01,9.846413448e-01,4.263152221e-01,2.932967375e-01,5.374135621e-01,-1.596981424e-01,2.980789694e-01,1.541880012e+00,2.068235636e+00,-1.317239523e+00,2.100000000e+01,3.864201307e-01,2.200000000e+01,1.900000000e+01
1,rock,0,1.379310345e-01,9.125000302e-04,1.682460740e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.641932078e+00,6.709518083e-03,5.745899420e-02,8.247654082e-02,1.085278173e-02,0.000000000e+00,1.565842001e-01,2.360061368e-01,8.059717715e-03,1.429682875e-01,7.965846337e-02,3.321576229e-01,-1.241793809e-02,1.567542678e-01,5.040023297e+00,1.381632836e-01,1.869389931e+00,5.198242461e-01,2.146426201e+00,1.076923077e-01,1.490973479e-01,2.385969400e+00,1.969696970e-01,1.234972104e-01,2.255105019e+00,1.250000000e-01,1.511975181e-01,2.416924477e+00,1.212121212e-01,1.294217027e-01,1.401811349e+00,6.449211726e-01,-1.702187482e-02,4.253543233e-01,5.733804650e-02,2.303051521e-01,1.865129590e+00,2.416924477e+00,-7.968732119e-01,1.800000000e+01,3.382476270e-01,1.800000000e+01,2.200000000e+01
2,rock,0,1.187739464e-01,2.909660862e-03,6.258946860e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.698966678e+00,8.280971661e-03,4.592824644e-03,-4.598606247e-04,-5.677310690e-03,0.000000000e+00,1.936643762e-01,2.204472886e-01,1.092965878e-02,1.658783842e-01,9.724420198e-02,2.858700926e-01,1.490459696e-02,1.223598882e-01,6.258012526e+00,1.398385940e-01,2.127344477e+00,5.573343708e-01,2.441721439e+00,6.153846154e-02,1.573783195e-01,2.681845903e+00,1.515151515e-01,1.280900350e-01,2.516467094e+00,1.406250000e-01,1.507376575e-01,2.671502352e+00,1.212121212e-01,1.237443920e-01,1.516165878e+00,7.527333250e-01,-6.842758904e-02,4.274704209e-01,7.796832041e-02,2.226153447e-01,2.016291380e+00,2.681845903e+00,-8.772270083e-01,1.900000000e+01,3.138276935e-01,2.000000000e+01,2.100000000e+01
3,rock,0,2.030651341e-01,3.713731524e-02,2.467588101e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.988580093e+00,-3.692961317e-02,-1.200414218e-02,-2.050913985e-02,3.956593911e-02,0.000000000e+00,2.855827396e-02,3.453354556e-01,-1.137483373e-01,2.380856635e-01,-7.080553382e-03,3.304794732e-01,-4.056018894e-03,2.444679398e-01,3.566989427e+00,1.325821526e-01,1.634080306e+00,5.223582485e-01,2.127327919e+00,1.846153846e-01,1.204487064e-01,2.215177774e+00,2.575757576e-01,1.160858929e-01,2.068248749e+00,2.343750000e-01,1.302285176e-01,2.255448580e+00,1.363636364e-01,1.633103311e-01,1.344475622e+00,6.100448435e-01,-4.020178923e-03,4.234174948e-01,4.691590929e-02,2.946167907e-01,1.754447937e+00,2.255448580e+00,-7.779260874e-01,1.800000000e+01,3.284158409e-01,1.900000000e+01,2.200000000e+01
4,rock,0,2.183908046e-01,-1.648934921e-03,4.958678548e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.949184918e+00,6.817416642e-02,-1.163406351e-02,4.984427468e-02,-3.652296653e-02,0.000000000e+00,1.252814711e-01,2.791191290e-01,-1.134136006e-01,2.939047210e-01,-8.036205940e-03,4.139267352e-01,-8.182687359e-02,2.815625626e-01,3.989770575e+00,1.496051044e-01,1.580712318e+00,6.376820915e-01,2.700510979e+00,1.692307692e-01,1.886228728e-01,2.742058754e+00,2.272727273e-01,1.044518294e-01,2.570278168e+00,2.656250000e-01,1.800727923e-01,2.822005510e+00,2.121212121e-01,1.267873646e-01,1.592393245e+00,8.250248481e-01,-7.287025785e-02,5.410241037e-01,8.751540870e-02,3.196970503e-01,2.061476946e+00,2.822005510e+00,-1.023207545e+00,1.800000000e+01,3.165653348e-01,1.900000000e+01,2.200000000e+01
5,paper,0,5.057471264e-01,-2.725065903e-02,5.695171448e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.072006816e-01,-2.058270407e-01,2.013334141e-01,-1.157616271e-02,2.882732040e-02,-5.192136302e-02,1.631703701e-01,-1.168010376e-01,-4.216101083e-01,4.076907659e-02,1.495923397e-01,3.549309558e-01,8.421431184e-01,5.538461538e-01,7.576871039e-02,7.865311503e-01,4.545454545e-01,8.348011132e-02,7.503818870e-01,4.218750000e-01,-5.430014297e-02,7.883122563e-01,5.909090909e-01,5.577703966e-02,4.320463263e-01,3.669736712e-01,1.941621750e-02,4.098727909e-01,-2.056949605e-03,2.687567657e-01,7.855249047e-01,8.421431184e-01,-8.127595186e-01,1.300000000e+01,1.688342094e-01,1.400000000e+01,2.700000000e+01
6,paper,0,3.908045977e-01,-3.383122897e-02,1.224080592e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.492038141e+00,-1.834679092e-02,-6.458453658e-03,-1.420734547e-02,-1.396939544e-02,0.000000000e+00,1.855684806e-01,-2.166937541e-01,1.954434724e-01,-2.687991207e-02,-6.178494385e-02,8.405273038e-02,6.147171371e-03,4.740158631e-02,3.410497725e-01,2.755049590e-02,4.648895926e-01,3.167092906e-01,9.763842821e-01,5.692307692e-01,5.742191946e-02,7.072905302e-01,3.787878788e-01,7.702165766e-02,4.263573587e-01,1.406250000e-01,-6.850748844e-02,7.023104429e-01,4.696969697e-01,4.180764422e-02,1.604989306e-01,2.629236852e-01,1.856051135e-01,3.774142363e-01,-9.720756254e-02,2.048504670e-01,7.066893578e-01,9.763842821e-01,-7.042845488e-01,1.300000000e+01,1.798541248e-01,1.500000000e+01,2.700000000e+01
7,paper,0,4.061302682e-01,2.209789470e-02,1.208311160e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.085677788e+00,5.236624450e-03,4.508572631e-03,1.167641376e-02,1.425539694e-03,0.000000000e+00,2.341729077e-01,-2.218625082e-01,2.123599000e-01,-2.646362217e-02,-2.144358397e-02,4.213796883e-02,6.193674047e-02,-2.435576101e-02,2.748570079e-01,3.321839813e-02,6.527534651e-03,2.894138140e-01,8.307320476e-01,5.846153846e-01,6.265854391e-02,7.134211659e-01,4.242424242e-01,8.153023029e-02,4.180338085e-01,2.500000000e-01,-5.683107467e-02,5.486322641e-01,3.636363636e-01,4.323318392e-02,2.662611300e-01,1.203796216e-01,1.206721649e-01,3.542572892e-01,-5.906951144e-02,2.109525298e-01,7.594200373e-01,8.307320476e-01,-7.764802575e-01,1.300000000e+01,1.674109548e-01,1.500000000e+01,2.700000000e+01
8,paper,0,4.827586207e-01,1.159443502e-02,9.321533667e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.744134676e+00,-4.647731151e-03,1.564409591e-02,1.433796122e-02,8.202256070e-03,0.000000000e+00,2.274014331e-01,-1.991316006e-01,2.086256064e-01,8.213483136e-03,-9.873726913e-03,3.704276883e-02,7.698484039e-02,-2.522521856e-02,-2.851673926e-01,4.160685110e-02,1.130693120e-02,2.847493448e-01,7.191740870e-01,6.307692308e-01,5.801081276e-02,6.047133207e-01,5.151515152e-01,9.717432620e-02,5.961348414e-01,3.125000000e-01,-4.249311345e-02,5.314795971e-01,4.696969697e-01,5.143543999e-02,4.063797976e-01,1.611740024e-01,4.087927319e-02,3.465352238e-01,-1.110415166e-02,2.023168025e-01,6.497393847e-01,7.191740870e-01,-7.044605613e-01,1.300000000e+01,1.506342590e-01,1.300000000e+01,2.700000000e+01
9,paper,0,4.750957854e-01,-2.151571497e-02,7.266790637e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.217020701e+00,1.684976425e-02,-1.421247859e-02,8.081852015e-03,-5.847981651e-03,0.000000000e+00,2.766872368e-01,-1.845882130e-01,1.885231904e-01,8.670126137e-03,1.582443074e-02,-1.614439132e-03,1.153051408e-01,-8.844446106e-02,-1.510419347e-01,4.271214930e-02,1.247569049e-01,3.163151397e-01,8.024516106e-01,5.230769231e-01,7.486057701e-02,8.347655535e-01,4.545454545e-01,8.296184761e-02,6.912730932e-01,3.750000000e-01,-3.441126144e-02,6.431231499e-01,5.454545455e-01,4.558745834e-02,4.619009278e-01,3.135171931e-01,-1.083540070e-04,3.613974965e-01,1.012745463e-02,2.281091653e-01,7.189811468e-01,8.347655535e-01,-7.586116195e-01,1.300000000e+01,1.536040008e-01,1.700000000e+01,2.700000000e+01
