frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
0,scissors,0,3.333333333e-01,-5.926579880e-02,8.969284474e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.044198595e-05,1.714257440e-01,1.380669317e-01,-2.161547073e-01,1.761435177e-01,1.499642052e-01,-3.425112246e-01,1.104797784e-01,1.638836555e+00,2.339139400e-02,-1.859151049e-01,6.827446756e-01,1.763643384e+00,3.692307692e-01,9.144062330e-02,1.266397476e+00,1.212121212e-01,4.494001728e-02,2.143799782e+00,4.531250000e-01,1.372294837e-01,2.337782145e+00,3.939393939e-01,-1.755638602e-01,-3.004515636e-01,1.023652440e+00,2.134457961e-01,8.301826489e-01,-5.608444276e-02,4.323261389e-01,1.793128014e+00,2.143799782e+00,-2.337782145e+00,1.300000000e+01,3.189769685e-01,1.600000000e+01,2.700000000e+01
1,scissors,0,3.026819923e-01,-9.383307106e-02,-2.847767329e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.698600573e+00,-4.261062778e-02,-4.196669963e-02,2.100731537e-03,-6.131433571e-03,0.000000000e+00,-1.374628713e-01,2.807811042e-01,-6.856604246e-03,-1.588784095e-01,1.044475335e-01,1.868213835e-01,-3.554527240e-01,1.002870969e-01,1.341012685e+00,1.131927414e-03,-2.381677122e-01,6.849798808e-01,1.597351909e+00,3.076923077e-01,4.882999552e-02,7.475244999e-01,3.030303030e-02,2.973317648e-03,2.113643885e+00,5.000000000e-01,1.393302152e-01,2.214350939e+00,3.787878788e-01,-1.816952938e-01,-1.583903166e-01,9.687201545e-01,9.847395207e-02,8.527534051e-01,-4.049909511e-02,4.658478104e-01,1.994925618e+00,2.113643885e+00,-2.214350939e+00,1.400000000e+01,3.136641979e-01,1.400000000e+01,2.600000000e+01
2,scissors,0,3.180076628e-01,-9.273535394e-02,-3.901585550e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.529332669e+00,-1.383118606e-02,2.680868718e-02,-6.229177040e-02,4.757267999e-02,0.000000000e+00,-1.507319805e-01,1.476142107e-01,6.474716554e-02,-1.825293015e-01,1.740919844e-02,2.673734564e-01,-4.425613049e-01,2.948696025e-01,9.082761691e-01,1.221850147e-03,-8.085878806e-02,5.442554996e-01,1.189487934e+00,3.076923077e-01,3.499880946e-02,5.722535849e-01,4.545454545e-02,2.978200482e-02,1.612172365e+00,5.156250000e-01,7.703844480e-02,1.600672245e+00,4.090909091e-01,-1.341226138e-01,-4.361840699e-01,6.632822890e-01,1.514541599e-01,6.318518495e-01,-3.514465969e-02,4.028663343e-01,1.476289392e+00,1.612172365e+00,-1.600672245e+00,1.300000000e+01,3.387110829e-01,1.500000000e+01,2.700000000e+01
3,scissors,0,2.796934866e-01,-1.143900304e-01,1.136963389e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.415768957e+00,-1.154854773e-02,-3.598972972e-03,-2.056853090e-02,-2.090713393e-02,0.000000000e+00,-1.183815988e-01,1.400060644e-01,8.476593962e-02,-2.265834498e-01,4.525446474e-02,1.572196382e-01,-3.837868529e-01,2.044848821e-01,2.193166724e+00,-1.289479597e-02,-8.475144183e-01,5.337896504e-01,1.108001471e+00,3.076923077e-01,2.345026173e-02,5.972671509e-01,4.545454545e-02,2.618303185e-02,1.184498668e+00,3.906250000e-01,5.646991389e-02,2.022106647e+00,3.787878788e-01,-1.550297477e-01,-4.705570326e-01,7.374650785e-01,3.184835154e-02,6.291869414e-01,2.401884853e-02,3.741200264e-01,1.500869036e+00,1.395970702e+00,-2.022106647e+00,1.400000000e+01,3.545998931e-01,1.500000000e+01,2.600000000e+01
4,scissors,0,3.141762452e-01,-5.216804340e-02,5.329318424e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.363019815e+00,-3.398418091e-02,1.116305749e-02,-7.158714140e-02,-7.753027949e-03,0.000000000e+00,-1.075426504e-01,8.210653788e-03,1.669017652e-01,-2.496353111e-01,-3.150207380e-02,1.335623893e-01,-3.740538668e-01,1.550475842e-01,1.797487745e+00,-3.804991803e-02,-8.588921367e-01,5.556722174e-01,1.333061337e+00,4.615384615e-01,-1.053391919e-02,1.015987158e+00,1.363636364e-01,3.734608934e-02,1.114240527e+00,3.281250000e-01,-1.511722751e-02,2.110083580e+00,3.333333333e-01,-1.627827757e-01,-8.134477440e-01,7.610398858e-01,1.300504955e-01,6.016471380e-01,-3.703801078e-02,3.568534901e-01,1.635390043e+00,1.186715484e+00,-2.110083580e+00,1.300000000e+01,3.461310565e-01,1.300000000e+01,2.700000000e+01
5,paper,0,4.482758621e-01,3.105971058e-02,9.648910524e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.627422798e-01,3.531228746e-01,1.839731678e-01,-2.936853103e-01,4.701325004e-02,4.026698134e-01,-3.887330177e-01,3.240649898e-01,3.883865847e-02,3.039227894e-02,4.379605514e-01,7.803889890e-01,1.796202064e+00,5.538461538e-01,-1.087220753e-01,2.343849897e+00,4.393939394e-01,1.798247845e-01,1.725281715e+00,4.062500000e-01,6.556620280e-02,1.773389459e+00,3.939393939e-01,-1.614171295e-02,1.093963956e-01,7.593714485e-01,2.933985506e-01,9.463122768e-01,-1.564666691e-01,5.837680092e-01,1.791639566e+00,2.343849897e+00,-1.796202064e+00,1.300000000e+01,3.835427463e-01,1.400000000e+01,2.700000000e+01
6,paper,0,4.444444444e-01,1.315746693e-01,-2.060183690e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.741042724e+00,-3.562518019e-02,-1.187217588e-03,1.545709993e-02,-6.147129876e-02,0.000000000e+00,-3.134738905e-01,1.549472746e-01,3.538387283e-01,-4.264851417e-01,2.814115261e-01,1.195976697e-01,-2.596352855e-01,1.873917483e-01,2.916904225e-01,9.465672062e-03,3.579890135e-02,6.528530359e-01,1.179508448e+00,5.230769231e-01,-1.443472555e-01,2.123834610e+00,5.454545455e-01,1.786375669e-01,1.696560860e+00,5.000000000e-01,8.102330273e-02,1.294567108e+00,2.121212121e-01,-7.761301171e-02,-2.253761146e-01,8.085328648e-01,2.367750044e-01,7.500116269e-01,-1.078261223e-01,4.959086244e-01,1.540239930e+00,1.693860888e+00,-2.123834610e+00,1.200000000e+01,3.920684159e-01,1.300000000e+01,2.800000000e+01
7,paper,0,3.448275862e-01,1.491028138e-01,-7.347910833e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.963848875e+00,9.763101976e-03,-4.601637526e-02,-5.777185229e-02,-4.922336240e-02,0.000000000e+00,-1.040262858e-01,-2.196320784e-01,4.708179147e-01,-4.971235946e-01,2.727958607e-01,4.734238202e-02,-2.316045500e-01,5.852281165e-02,8.449690211e-01,-2.635279385e-02,-1.719178068e-01,7.315112561e-01,1.702039957e+00,2.769230769e-01,-1.345841535e-01,2.376251698e+00,4.393939394e-01,1.326211916e-01,2.173437595e+00,5.000000000e-01,2.325145044e-02,2.104480743e+00,1.666666667e-01,-1.268363741e-01,-5.261309672e-01,1.053082457e+00,3.400252950e-01,7.764260809e-01,-1.977205361e-01,5.009838091e-01,1.832078099e+00,1.858893394e+00,-2.376251698e+00,1.200000000e+01,3.633298874e-01,1.500000000e+01,2.800000000e+01
8,paper,0,3.678160920e-01,5.797418138e-02,-9.428672895e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.307160416e+00,4.410767567e-02,-3.875585259e-02,-1.541964538e-02,3.916793468e-02,0.000000000e+00,-1.337532612e-01,-4.277658981e-02,2.718428555e-01,-3.412862235e-01,8.552209999e-02,1.861297077e-01,-2.745874452e-01,1.041088807e-01,3.612182846e-01,-1.904498147e-02,1.003104610e-01,5.506696527e-01,1.490116596e+00,3.230769231e-01,-9.047647785e-02,1.367997050e+00,3.939393939e-01,9.386533902e-02,1.499550939e+00,4.843750000e-01,7.831805058e-03,1.570705175e+00,2.727272727e-01,-8.766843943e-02,-3.259014626e-01,7.792297862e-01,2.117149460e-01,6.211354765e-01,-1.281350297e-01,3.777943892e-01,1.342675567e+00,1.499550939e+00,-1.570705175e+00,1.100000000e+01,3.331143260e-01,1.200000000e+01,2.900000000e+01
9,paper,0,3.831417625e-01,5.536627752e-02,-1.875310888e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.906813572e+00,1.928976083e-02,-9.057429309e-03,-1.230505184e-02,-1.044335764e-02,0.000000000e+00,-8.015958417e-02,-1.112579401e-01,3.003343162e-01,-3.572787182e-01,7.019268998e-02,1.853496135e-01,-2.793037156e-01,9.932879510e-02,2.829262024e-01,-2.218958224e-02,-1.637891488e-01,5.018442615e-01,1.307147503e+00,3.846153846e-01,-7.118671703e-02,1.054210424e+00,3.636363636e-01,8.480790971e-02,1.371736288e+00,5.000000000e-01,-4.473246780e-03,1.522153139e+00,2.878787879e-01,-9.811179707e-02,-3.593224692e-01,6.607239954e-01,1.461292045e-01,5.772113207e-01,-8.523689403e-02,3.622934188e-01,1.255331278e+00,1.371736288e+00,-1.522153139e+00,1.100000000e+01,3.476174772e-01,1.400000000e+01,2.900000000e+01
