frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
0,scissors,0,2.605363985e-01,1.528344653e-01,6.158350806e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.139485299e+02,1.446938127e+02,-6.970568952e+01,1.004518789e+02,-5.503457413e+01,2.353468713e+01,-3.776014398e+01,3.338955713e+01,2.399427601e+00,2.532286895e+00,7.331930689e-02,2.516152955e+02,5.253321533e+02,2.000000000e-01,-2.271085371e+01,9.821681519e+02,4.848484848e-01,2.999958421e+01,4.677588196e+02,1.406250000e-01,-7.165913448e+00,5.282150269e+02,2.121212121e-01,9.329973833e+00,-1.266825109e+02,3.768616600e+02,1.073019003e+02,2.799027019e+02,-4.847029739e+01,1.716205391e+02,7.405424194e+02,8.580081177e+02,-9.821681519e+02,1.300000000e+01,7.139618397e-01,1.400000000e+01,2.700000000e+01
1,scissors,0,2.605363985e-01,1.556816300e-01,8.565909237e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.885125428e+02,-5.163643101e+00,5.137747887e+00,-4.784931239e+00,9.404715282e-01,0.000000000e+00,-1.375318230e+02,1.740501862e+02,-8.768116695e+01,1.242772675e+02,-7.260540488e+01,2.530657325e+01,-4.512005077e+01,3.862636147e+01,2.456079748e+00,1.610026667e+00,7.547737754e-02,3.063978490e+02,6.418395386e+02,2.000000000e-01,-2.787449681e+01,1.204558594e+03,4.848484848e-01,3.513733210e+01,5.662654419e+02,1.406250000e-01,-1.195084469e+01,6.431510010e+02,2.121212121e-01,1.027044536e+01,-1.536539194e+02,4.592675658e+02,1.295216864e+02,3.411859446e+02,-6.102175437e+01,2.084359647e+02,9.053930054e+02,1.044939209e+03,-1.204558594e+03,1.400000000e+01,7.057470679e-01,1.500000000e+01,2.600000000e+01
2,scissors,0,2.375478927e-01,1.746209995e-01,6.246482959e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.534367295e+02,-7.411766927e+00,-1.486655964e+01,-1.718021747e+01,-2.879142749e+00,0.000000000e+00,-1.404987437e+02,1.656925656e+02,-1.334593310e+02,1.559744601e+02,-1.126240182e+02,1.416838902e+01,-4.608674949e+01,3.093281804e+01,2.946856191e+00,-8.936008299e+00,2.386537896e-02,3.499804925e+02,7.168426514e+02,1.538461538e-01,-3.528626373e+01,1.472185181e+03,4.545454545e-01,2.027077246e+01,6.109081421e+02,1.562500000e-01,-2.913106216e+01,7.125985718e+02,1.818181818e-01,7.391302613e+00,-1.551700285e+02,5.239454212e+02,1.361743066e+02,3.883917182e+02,-8.435042359e+01,2.419983416e+02,1.054185059e+03,1.200445679e+03,-1.472185181e+03,1.600000000e+01,5.742915869e-01,1.600000000e+01,2.400000000e+01
3,scissors,0,2.375478927e-01,1.787998502e-01,1.347414941e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.653881578e+02,-2.536187796e+00,-1.489961335e+00,1.980388891e-01,7.010470493e-01,0.000000000e+00,-1.417935284e+02,1.645187979e+02,-1.314385450e+02,1.513392384e+02,-1.074590013e+02,8.253605669e+00,-4.033372957e+01,2.487906828e+01,2.925578481e+00,-9.718560256e+00,5.767545396e-02,3.603517873e+02,7.723489380e+02,1.692307692e-01,-3.782245153e+01,1.501340698e+03,4.393939394e-01,1.878081112e+01,6.396994629e+02,1.250000000e-01,-2.893302327e+01,7.579086304e+02,2.121212121e-01,8.092349662e+00,-1.720292985e+02,5.426910236e+02,1.487753520e+02,3.969261810e+02,-9.171085243e+01,2.450801021e+02,1.083433228e+03,1.223254517e+03,-1.501340698e+03,1.400000000e+01,6.796565056e-01,1.700000000e+01,2.600000000e+01
4,scissors,0,2.605363985e-01,1.674412703e-01,1.891536880e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.525726864e+03,1.418626005e+01,8.145365398e+00,8.608407451e+00,-3.744041368e+00,0.000000000e+00,-1.179514053e+02,1.503486532e+02,-8.419697413e+01,1.155422020e+02,-8.049812178e+01,6.975353776e+00,-3.531597070e+01,2.699849781e+01,2.561721314e+00,-2.961731267e+00,1.154283803e-01,2.713967025e+02,5.862766724e+02,2.000000000e-01,-2.363619148e+01,1.080961182e+03,4.848484848e-01,2.692617652e+01,4.791301270e+02,1.562500000e-01,-2.032461582e+01,5.693652344e+02,1.969696970e-01,4.348308294e+00,-1.348278433e+02,4.053517240e+02,1.155314430e+02,3.026347510e+02,-6.272670611e+01,1.816955707e+02,8.050560913e+02,9.127558594e+02,-1.080961182e+03,1.400000000e+01,7.105737329e-01,1.400000000e+01,2.600000000e+01
5,paper,0,2.681992337e-01,1.554618449e-01,8.018333862e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.395605829e+02,1.784642521e+02,-8.279769054e+01,1.230630416e+02,-7.105405040e+01,2.635455776e+01,-4.632632849e+01,3.819127273e+01,2.458226035e+00,2.459561232e+00,1.120031375e-01,3.160635519e+02,6.688476562e+02,2.000000000e-01,-2.769482989e+01,1.225443604e+03,4.848484848e-01,3.824386072e+01,5.978285522e+02,1.406250000e-01,-1.161043422e+01,6.785856934e+02,2.424242424e-01,1.001640010e+01,-1.646749813e+02,4.770440215e+02,1.376715154e+02,3.509418212e+02,-6.330795412e+01,2.125566856e+02,9.261079712e+02,1.077976685e+03,-1.225443604e+03,1.300000000e+01,7.737542987e-01,1.400000000e+01,2.700000000e+01
6,paper,0,2.567049808e-01,1.536602503e-01,4.411111186e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.474224435e+02,1.440279972e+00,-3.590193257e+00,3.434528634e-01,-2.348363201e-01,0.000000000e+00,-1.306851056e+02,1.659138955e+02,-8.255174235e+01,1.188600883e+02,-6.973876693e+01,2.742043760e+01,-4.539704363e+01,3.773827353e+01,2.481827147e+00,1.935221114e+00,8.526588946e-02,2.961263652e+02,6.120639038e+02,1.846153846e-01,-2.625454991e+01,1.161571899e+03,4.848484848e-01,3.465366746e+01,5.546871338e+02,1.406250000e-01,-1.126698136e+01,6.242404175e+02,2.121212121e-01,9.781563782e+00,-1.478853108e+02,4.456598937e+02,1.249326158e+02,3.295196539e+02,-5.821421443e+01,2.015180611e+02,8.737284546e+02,1.015544250e+03,-1.161571899e+03,1.200000000e+01,7.237519622e-01,1.300000000e+01,2.800000000e+01
7,paper,0,2.720306513e-01,1.656999470e-01,2.041091339e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.901149077e+02,3.339801018e-01,-1.639070218e+00,-1.176748382e+01,-5.007269503e+00,0.000000000e+00,-1.349951084e+02,1.741653149e+02,-9.197651909e+01,1.305512532e+02,-9.131425605e+01,8.488117709e+00,-4.083368279e+01,3.208016590e+01,2.490271069e+00,-2.547800645e+00,1.206292116e-01,3.055055970e+02,6.584838867e+02,2.000000000e-01,-2.592056981e+01,1.207038940e+03,4.848484848e-01,3.301459724e+01,5.402564087e+02,1.875000000e-01,-2.303446517e+01,6.395361938e+02,2.121212121e-01,4.774294279e+00,-1.526000062e+02,4.553888644e+02,1.296828443e+02,3.417055905e+02,-6.881895065e+01,2.043298004e+02,9.031632080e+02,1.025892578e+03,-1.207038940e+03,1.500000000e+01,6.817842722e-01,1.600000000e+01,2.500000000e+01
8,paper,0,2.298850575e-01,1.795571983e-01,1.123477372e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.273813585e+03,-1.149431969e+01,-1.233647135e+01,-8.158583718e+00,2.051523610e+00,0.000000000e+00,-1.436396126e+02,1.686678469e+02,-1.342302158e+02,1.573929916e+02,-1.143539384e+02,1.064582523e+01,-4.495289278e+01,2.611161111e+01,2.965897215e+00,-1.001173432e+01,7.199643922e-02,3.732186835e+02,7.855986328e+02,1.692307692e-01,-3.741488950e+01,1.553651855e+03,4.393939394e-01,2.067812589e+01,6.704465332e+02,1.250000000e-01,-3.119304889e+01,7.882025757e+02,1.818181818e-01,6.825817888e+00,-1.768084612e+02,5.643438357e+02,1.527471414e+02,4.112957026e+02,-9.419312879e+01,2.538530009e+02,1.122745117e+03,1.274651123e+03,-1.553651855e+03,1.400000000e+01,7.057103515e-01,1.500000000e+01,2.600000000e+01
9,paper,0,2.643678161e-01,1.674986920e-01,2.022518134e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.622339835e+03,1.288638474e+01,6.961656735e+00,1.028277353e+01,-2.315665306e+00,0.000000000e+00,-1.206154363e+02,1.533620365e+02,-8.473619748e+01,1.166641314e+02,-8.151033848e+01,6.538125594e+00,-3.532197932e+01,2.652041574e+01,2.557465816e+00,-3.106186621e+00,1.232946192e-01,2.783205393e+02,6.071423950e+02,2.000000000e-01,-2.452850476e+01,1.104679688e+03,4.848484848e-01,2.763978263e+01,4.960646973e+02,1.562500000e-01,-2.091027536e+01,5.896863403e+02,2.121212121e-01,4.510152583e+00,-1.413827434e+02,4.164685393e+02,1.198863907e+02,3.099294133e+02,-6.493590697e+01,1.853986546e+02,8.249953613e+02,9.334393921e+02,-1.104679688e+03,1.300000000e+01,7.202727199e-01,1.400000000e+01,2.700000000e+01
