frame_id,gesture,rep,activation_ratio,centroid_x,centroid_y,delta_ds_abs_p98,delta_ds_max,delta_ds_min,delta_l2,delta_q0_mean,delta_q1_mean,delta_q2_mean,delta_q3_mean,delta_rel_l2,elec_0_mean,elec_1_mean,elec_2_mean,elec_3_mean,elec_4_mean,elec_5_mean,elec_6_mean,elec_7_mean,global_kurtosis,global_mean,global_skew,global_std,q0_dorsal_absmax,q0_dorsal_active,q0_dorsal_mean,q1_radial_absmax,q1_radial_active,q1_radial_mean,q2_ventral_absmax,q2_ventral_active,q2_ventral_mean,q3_ulnar_absmax,q3_ulnar_active,q3_ulnar_mean,ring_inner_mean,ring_inner_std,ring_middle_mean,ring_middle_std,ring_outer_mean,ring_outer_std,summary_ds_abs_p98,summary_ds_max,summary_ds_min,summary_invalid_count,summary_rel_l2,summary_retry_count,summary_valid_count
0,paper,0,3.639846743e-01,-6.171272994e-02,1.385562543e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,3.033883115e-01,-2.603933683e-01,1.509958254e-01,-1.705910740e-01,1.232610136e-01,7.757039377e-02,-6.288480174e-03,-1.412702752e-01,5.690544324e-01,1.184111895e-02,4.604217834e-02,6.027275057e-01,1.747582436e+00,5.692307692e-01,9.581372491e-02,1.245980740e+00,2.727272727e-01,-6.551634759e-02,1.294045925e+00,2.500000000e-01,4.978499442e-02,1.674050808e+00,3.636363636e-01,-3.029576934e-02,-2.633019285e-01,7.011334332e-01,4.529813627e-02,7.466889897e-01,2.966146848e-02,4.505059879e-01,1.520872116e+00,1.629600406e+00,-1.747582436e+00,1.700000000e+01,1.263983697e-01,1.900000000e+01,2.300000000e+01
1,paper,0,4.137931034e-01,-3.398209689e-02,9.137187553e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.099903202e+01,-1.554030355e-01,1.002692040e-01,-5.717482594e-02,4.663162700e-02,0.000000000e+00,8.446357410e-02,-1.947738847e-01,1.325230050e-01,-1.734648200e-02,8.266689509e-02,-5.835939515e-02,1.708891923e-01,-2.360093871e-01,1.364296041e-01,-3.733330548e-03,1.588859552e-01,4.141662617e-01,1.118149519e+00,5.692307692e-01,-5.958931056e-02,7.741883993e-01,3.181818182e-01,3.475285644e-02,7.663394809e-01,4.062500000e-01,-7.389831520e-03,1.034034729e+00,3.636363636e-01,1.633585767e-02,4.148464469e-01,4.727196519e-01,-1.560088992e-01,4.696542758e-01,3.674083098e-02,2.976880974e-01,1.008629322e+00,1.072031736e+00,-1.118149519e+00,2.000000000e+01,1.101216003e-01,2.000000000e+01,2.000000000e+01
2,paper,0,3.984674330e-01,-7.502501562e-02,9.125881069e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.032410634e+01,1.421457647e-01,-9.198162360e-02,6.935788485e-02,-3.548529473e-02,0.000000000e+00,1.533307032e-01,-9.957791319e-02,5.236153257e-02,-1.009173890e-01,7.585777108e-02,1.065894533e-01,-7.549647446e-02,9.820198058e-03,2.736786036e-01,1.644123927e-02,2.166945362e-01,4.560776681e-01,1.242533326e+00,6.000000000e-01,8.255645410e-02,6.995184422e-01,3.181818182e-01,-5.722876716e-02,1.226260900e+00,3.281250000e-01,6.196805333e-02,1.235246062e+00,3.484848485e-01,-1.914943707e-02,-2.245178555e-01,5.401306200e-01,6.804985510e-02,5.774524201e-01,1.717536337e-02,3.192530557e-01,1.170275807e+00,1.235246062e+00,-1.242533326e+00,1.800000000e+01,1.067401394e-01,1.900000000e+01,2.200000000e+01
3,paper,0,4.712643678e-01,-1.328880562e-01,8.473499974e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.488097930e+00,-4.453576480e-02,5.236648969e-04,-5.105079067e-02,-8.581739586e-02,0.000000000e+00,1.236750636e-01,-1.435174337e-01,-2.789441682e-02,5.338467866e-02,-8.253530314e-02,1.269871594e-01,-8.254159996e-02,-2.127295472e-01,2.931701825e-01,-2.873677436e-02,-4.427638373e-01,2.110161172e-01,4.434587359e-01,5.538461538e-01,3.802068930e-02,4.182837009e-01,2.878787879e-01,-5.670510227e-02,3.947207332e-01,4.375000000e-01,1.091726265e-02,6.607092619e-01,6.060606061e-01,-1.049668329e-01,1.276575703e-02,1.259732928e-01,-1.268708204e-01,2.327069377e-01,3.063347051e-02,1.791493251e-01,4.976963103e-01,4.434587359e-01,-6.607092619e-01,1.600000000e+01,1.219825968e-01,1.600000000e+01,2.400000000e+01
4,paper,0,4.137931034e-01,-6.344982526e-03,3.430626125e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.645903060e+00,-6.569352861e-02,1.166985182e-01,-1.592818992e-02,1.737604323e-01,0.000000000e+00,-3.501859422e-02,-4.512430675e-02,2.242582932e-02,1.051073929e-01,-1.491346722e-02,2.654849552e-03,7.356598263e-02,8.998036154e-02,3.317683473e-01,2.444639508e-02,3.996474471e-01,3.468792358e-01,9.002807736e-01,5.230769231e-01,-2.767283931e-02,8.095690012e-01,3.636363636e-01,5.999341597e-02,5.860517025e-01,4.062500000e-01,-5.010927263e-03,1.107168555e+00,3.636363636e-01,6.879359941e-02,4.030493466e-01,3.941625769e-01,-6.258117377e-02,4.386244233e-01,2.725184388e-02,2.030034289e-01,8.821387291e-01,1.107168555e+00,-8.095690012e-01,2.000000000e+01,7.908040285e-02,2.100000000e+01,2.000000000e+01
5,scissors,0,4.061302682e-01,-6.697713979e-02,8.596790892e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.943710532e-03,-8.451062375e-02,-1.270169124e-02,-9.889453528e-02,5.709765741e-02,8.231555225e-03,-2.808116528e-02,-2.111733321e-01,5.537659467e-01,-4.640107203e-02,-3.190252878e-02,2.702630471e-01,8.735727668e-01,3.538461538e-01,-2.359662471e-02,8.574391007e-01,3.181818182e-01,-9.531208186e-02,6.835950613e-01,3.750000000e-01,4.451744299e-02,8.132272363e-01,5.757575758e-01,-1.081123961e-01,-4.141527097e-01,3.258401248e-01,1.085197738e-01,2.862205272e-01,-9.605118875e-02,1.552498715e-01,6.825156212e-01,6.835950613e-01,-8.735727668e-01,1.600000000e+01,8.530794084e-02,1.800000000e+01,2.400000000e+01
6,scissors,0,4.022988506e-01,-2.216172276e-02,2.848535302e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.457394740e+01,2.317928574e-02,1.353178716e-01,-1.043425010e-01,8.092912729e-02,0.000000000e+00,-1.871884655e-01,6.799363867e-02,-1.759401570e-01,3.059810358e-01,-3.124440896e-01,1.200042914e-01,-2.143142740e-01,3.100077494e-01,4.734122764e-01,-1.153120445e-02,1.667357587e-01,7.237028478e-01,2.131429672e+00,5.230769231e-01,-4.173389708e-04,1.715599895e+00,3.787878788e-01,4.000578976e-02,1.730530500e+00,3.281250000e-01,-5.982505801e-02,1.961339474e+00,3.787878788e-01,-2.718326880e-02,2.208535728e-01,9.137470329e-01,-1.312641144e-01,8.889365871e-01,3.440128883e-02,5.302642038e-01,1.754770875e+00,2.131429672e+00,-1.961339474e+00,1.500000000e+01,1.858014911e-01,1.600000000e+01,2.500000000e+01
7,scissors,0,2.567049808e-01,-1.171823202e-01,-2.741088523e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.325825401e+02,-1.187864425e+00,2.925836407e+00,1.006929997e+01,4.843541258e+00,0.000000000e+00,-9.442747106e-01,-1.180752822e+00,5.412799826e+00,-5.654285626e+00,1.656936621e+01,1.757582547e+01,-5.715317428e+00,6.761355803e+00,1.592979698e+00,4.126411080e+00,8.198752516e-01,2.677569517e+01,2.655064011e+01,1.538461538e-02,-1.188281764e+00,2.816399765e+01,4.545454545e-02,2.965842197e+00,9.698336029e+01,6.718750000e-01,1.000947491e+01,8.724786377e+01,3.030303030e-01,4.816357989e+00,-6.225257601e-01,2.532406046e+01,-1.720522683e-01,3.072002040e+01,7.684606601e+00,2.342032934e+01,8.140476990e+01,9.698336029e+01,-5.403464127e+01,1.300000000e+01,2.666420937e-01,1.400000000e+01,2.700000000e+01
8,scissors,0,3.716475096e-01,-8.410223746e-02,3.833589022e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.404878328e+02,1.194842354e+00,-3.066833012e+00,-9.969348898e+00,-4.915004035e+00,0.000000000e+00,8.882762305e-02,-1.607164673e-01,2.528356179e-02,-1.017362527e-01,6.119930498e-02,2.016125278e-02,1.141164903e-03,-2.572479796e-01,7.074679591e-01,-3.900969271e-02,-9.076996858e-02,3.334618258e-01,1.065423608e+00,3.846153846e-01,6.560590090e-03,9.159676433e-01,2.424242424e-01,-1.009908150e-01,8.084225059e-01,3.437500000e-01,4.012601048e-02,9.805794358e-01,5.151515152e-01,-9.864604592e-02,-4.560141929e-01,4.220333661e-01,1.293358240e-01,3.591158950e-01,-9.042688090e-02,2.066319849e-01,8.710275292e-01,9.276075363e-01,-1.065423608e+00,1.600000000e+01,8.553459495e-02,1.700000000e+01,2.400000000e+01
9,scissors,0,3.678160920e-01,-6.441747159e-02,1.001614091e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.967938779e+01,-4.600181021e-02,2.482091477e-01,-7.836202054e-02,1.874013236e-01,0.000000000e+00,-3.885734217e-01,3.591947238e-01,-1.828145935e-01,3.104757799e-01,-2.187984992e-01,1.915792139e-02,-1.462504205e-01,5.985393213e-01,7.199511871e-01,4.047308172e-02,1.469234207e-01,9.417638871e-01,2.830789328e+00,5.538461538e-01,-3.944122012e-02,1.418332458e+00,2.424242424e-01,1.472183326e-01,1.780581832e+00,2.656250000e-01,-3.823601006e-02,2.747299910e+00,4.090909091e-01,8.875527769e-02,5.918592545e-01,1.102804648e+00,6.831856435e-02,1.169649043e+00,-5.850105689e-02,6.807930436e-01,2.442739725e+00,2.830789328e+00,-2.566208124e+00,1.700000000e+01,1.052497178e-01,1.800000000e+01,2.300000000e+01
10,rock,0,3.716475096e-01,2.703956627e-02,-4.863402660e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.477801931e-02,1.992287813e-03,-8.242213604e-03,2.300189766e-01,-1.492214840e-01,9.968189794e-02,-2.045895660e-02,1.266877327e-01,6.899042190e-01,3.184938866e-02,1.977795433e-01,4.372823744e-01,1.152157068e+00,4.000000000e-01,-1.987408539e-02,1.403817892e+00,3.939393939e-01,1.186814972e-01,1.188010097e+00,3.593750000e-01,-5.060622518e-02,1.151693583e+00,3.333333333e-01,7.591402401e-02,6.105402293e-01,5.385766507e-01,-1.988006964e-01,4.877416326e-01,1.012236977e-01,2.378378347e-01,1.109263659e+00,1.403817892e+00,-1.072008610e+00,1.400000000e+01,8.740352839e-02,1.500000000e+01,2.600000000e+01
11,rock,0,3.946360153e-01,-4.230473081e-02,3.439939968e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.152913230e+01,6.862845980e-02,-2.249286322e-01,1.002978123e-01,-2.149914820e-01,0.000000000e+00,5.469013542e-02,-4.509330529e-02,-6.272561188e-02,-7.321808493e-02,8.580256585e-03,4.724706261e-02,-1.309714664e-01,-1.089501339e-01,3.824879179e-01,-3.770929971e-02,-1.134563227e-01,3.583814575e-01,9.843629003e-01,4.615384615e-01,4.875437441e-02,7.178553343e-01,3.181818182e-01,-1.062471350e-01,6.975482106e-01,3.125000000e-01,4.969158713e-02,1.081982970e+00,4.848484848e-01,-1.390774580e-01,-4.162378540e-01,4.329054814e-01,5.370250570e-02,4.365857986e-01,-4.344842248e-02,2.277973956e-01,9.680392146e-01,9.843629003e-01,-1.081982970e+00,1.400000000e+01,7.832162082e-02,1.400000000e+01,2.600000000e+01
